country_name,vaccine_name,missing_data_count
Austria,"Pneumococcal conjugate vaccine, 1st dose",30
Bhutan,"Pneumococcal conjugate vaccine, final dose",30
Brunei Darussalam,"Pneumococcal conjugate vaccine, 1st dose",30
Brunei Darussalam,"Rotavirus, 1st dose",30
Cabo Verde,"Pneumococcal conjugate vaccine, 1st dose",30
Cabo Verde,"Rotavirus, 1st dose",30
Chad,"Pneumococcal conjugate vaccine, 1st dose",30
Chad,"Rotavirus, 1st dose",30
"China, Macao SAR","Hib, 3rd dose",30
Cook Islands,Japanese encephalitis,30
Cuba,"Hib, 3rd dose",30
Czechia,"Measles-containing vaccine, 2nd dose",30
Dominica,"Measles-containing vaccine, 2nd dose",30
Dominican Republic,"Rubella-containing vaccine, 1st dose",30
Gambia,"HepB, birth dose (given within 24 hours of birth)",30
Grenada,"Pneumococcal conjugate vaccine, 1st dose",30
Grenada,"Rotavirus, 1st dose",30
Guinea,"Pneumococcal conjugate vaccine, 1st dose",30
Guinea,"Rotavirus, 1st dose",30
Hungary,"Rubella-containing vaccine, 1st dose",30
Indonesia,"Pneumococcal conjugate vaccine, final dose",30
Iraq,"Measles-containing vaccine, 2nd dose",30
Ireland,"Pneumococcal conjugate vaccine, 1st dose",30
Ireland,"Rotavirus, 1st dose",30
Japan,"Rotavirus, 1st dose",30
Kazakhstan,"Rotavirus, 1st dose",30
Kiribati,"HepB, 3rd dose",30
Kuwait,BCG (Baccille Calmette Guérin) vaccine,30
Kuwait,"HepB, 3rd dose",30
Lebanon,"Pneumococcal conjugate vaccine, final dose",30
Lebanon,"Rotavirus, 1st dose",30
Liberia,Japanese encephalitis,30
Libya,"Measles-containing vaccine, 2nd dose",30
Malaysia,"Pneumococcal conjugate vaccine, 1st dose",30
Marshall Islands,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",30
Monaco,"DTP-containing vaccine, 3rd dose",30
Monaco,"Pneumococcal conjugate vaccine, final dose",30
New Caledonia,Yellow fever vaccine,30
New Zealand,Japanese encephalitis,30
Nigeria,"HepB, birth dose (given within 24 hours of birth)",30
Palau,"Measles-containing vaccine, 2nd dose",30
Qatar,"Measles-containing vaccine, 2nd dose",30
Samoa,"Rubella-containing vaccine, 1st dose",30
Spain,"Pneumococcal conjugate vaccine, 1st dose",30
Switzerland,"DTP-containing vaccine, 1st dose",30
Timor-Leste,"Pneumococcal conjugate vaccine, 1st dose",30
Ukraine,Japanese encephalitis,30
Vanuatu,"HepB, birth dose (given within 24 hours of birth)",30
Wallis and Futuna,Yellow fever vaccine,30
Algeria,"Measles-containing vaccine, 2nd dose",29
American Samoa,BCG (Baccille Calmette Guérin) vaccine,29
Andorra,"DTP-containing vaccine, 3rd dose",29
Andorra,"Measles-containing vaccine, 1st dose",29
Andorra,"Polio, 3rd dose",29
Austria,"Rotavirus, 1st dose",29
Azerbaijan,"Rotavirus, 1st dose",29
Azerbaijan,"Vitamin A, 1st dose",29
Bahrain,"HepB, birth dose (given within 24 hours of birth)",29
Belize,"Rotavirus, 1st dose",29
Bhutan,"Rotavirus, 1st dose",29
Bolivia (Plurinational State of),Yellow fever vaccine,29
"China, Hong Kong SAR","Measles-containing vaccine, 2nd dose",29
Cuba,"HepB, 3rd dose",29
Cyprus,"Measles-containing vaccine, 1st dose",29
Cyprus,"Polio, 3rd dose",29
El Salvador,"Measles-containing vaccine, 2nd dose",29
Eritrea,Japanese encephalitis,29
Gambia,"Hib, 3rd dose",29
Greece,"DTP-containing vaccine, 1st dose",29
Iraq,"Pneumococcal conjugate vaccine, final dose",29
Iraq,"Vitamin A, 1st dose",29
Ireland,BCG (Baccille Calmette Guérin) vaccine,29
Jordan,"Pneumococcal conjugate vaccine, 1st dose",29
Malaysia,"Rubella-containing vaccine, 1st dose",29
Malta,"Measles-containing vaccine, 2nd dose",29
Montenegro,"Pneumococcal conjugate vaccine, 1st dose",29
Montenegro,"Rotavirus, 1st dose",29
Nauru,Japanese encephalitis,29
New Zealand,"HepB, 3rd dose",29
Northern Mariana Islands,"Measles-containing vaccine, 2nd dose",29
Oman,"Rotavirus, 1st dose",29
Panama,"Measles-containing vaccine, 2nd dose",29
Peru,"Hib, 3rd dose",29
Philippines,"HepB, 3rd dose",29
Romania,"Measles-containing vaccine, 2nd dose",29
Saint Vincent and the Grenadines,"Measles-containing vaccine, 2nd dose",29
Samoa,"Pneumococcal conjugate vaccine, 1st dose",29
Sao Tome and Principe,Protection at birth (PAB) against neonatal tetanus,29
South Africa,"HepB, 3rd dose",29
South Africa,Protection at birth (PAB) against neonatal tetanus,29
Tuvalu,"Rubella-containing vaccine, 1st dose",29
United Kingdom of Great Britain and Northern Ireland,"Rotavirus, 1st dose",29
Uzbekistan,"Measles-containing vaccine, 2nd dose",29
Vanuatu,Japanese encephalitis,29
Yemen,"Vitamin A, 1st dose",29
Andorra,"Pneumococcal conjugate vaccine, final dose",28
Austria,"Rotavirus, last dose",28
Bahamas,"Hib, 3rd dose",28
Belize,"Pneumococcal conjugate vaccine, 1st dose",28
Brunei Darussalam,Japanese encephalitis,28
Croatia,"Hib, 3rd dose",28
Cyprus,"DTP-containing vaccine, 3rd dose",28
Finland,"Measles-containing vaccine, 1st dose",28
France,"Rotavirus, 1st dose",28
Germany,"Measles-containing vaccine, 2nd dose",28
Guyana,"Measles-containing vaccine, 2nd dose",28
Guyana,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",28
India,"Vitamin A, 1st dose",28
Indonesia,"Rotavirus, 1st dose",28
Ireland,"Rotavirus, last dose",28
Italy,"Measles-containing vaccine, 1st dose",28
Italy,"Pneumococcal conjugate vaccine, 1st dose",28
Jamaica,"Pneumococcal conjugate vaccine, final dose",28
Lesotho,"Rotavirus, last dose",28
Liberia,BCG (Baccille Calmette Guérin) vaccine,28
Luxembourg,"DTP-containing vaccine, 1st dose",28
Morocco,Japanese encephalitis,28
Mozambique,"Rotavirus, last dose",28
New Caledonia,"Hib, 3rd dose",28
Nicaragua,"Hib, 3rd dose",28
Palau,Japanese encephalitis,28
Poland,"HepB, birth dose (given within 24 hours of birth)",28
Portugal,"HepB, birth dose (given within 24 hours of birth)",28
Romania,"Polio, 3rd dose",28
Samoa,"Rotavirus, 1st dose",28
Solomon Islands,"HepB, 3rd dose",28
South Africa,"Hib, 3rd dose",28
South Sudan,"Vitamin A, 1st dose",28
Switzerland,"DTP-containing vaccine, 3rd dose",28
Switzerland,"Polio, 3rd dose",28
Tajikistan,"Measles-containing vaccine, 2nd dose",28
Thailand,"Measles-containing vaccine, 1st dose",28
Tokelau,"Hib, 3rd dose",28
Trinidad and Tobago,"Hib, 3rd dose",28
Türkiye,"Measles-containing vaccine, 2nd dose",28
United Arab Emirates,"Hib, 3rd dose",28
United Arab Emirates,Japanese encephalitis,28
United Kingdom of Great Britain and Northern Ireland,"Pneumococcal conjugate vaccine, 1st dose",28
Vanuatu,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",28
Wallis and Futuna,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",28
Albania,Protection at birth (PAB) against neonatal tetanus,27
Algeria,"Pneumococcal conjugate vaccine, final dose",27
American Samoa,"Measles-containing vaccine, 2nd dose",27
Angola,"Vitamin A, 1st dose",27
Bolivia (Plurinational State of),"Vitamin A, 1st dose",27
Bosnia and Herzegovina,"Measles-containing vaccine, 2nd dose",27
Bosnia and Herzegovina,"Pneumococcal conjugate vaccine, 1st dose",27
Bosnia and Herzegovina,"Rotavirus, 1st dose",27
Cambodia,"Pneumococcal conjugate vaccine, final dose",27
Cameroon,"Vitamin A, 1st dose",27
Canada,"Pneumococcal conjugate vaccine, 1st dose",27
Canada,"Rubella-containing vaccine, 1st dose",27
"China, Hong Kong SAR","HepB, 3rd dose",27
Croatia,"Measles-containing vaccine, 2nd dose",27
Côte d'Ivoire,"Rotavirus, last dose",27
Democratic People's Republic of Korea,Protection at birth (PAB) against neonatal tetanus,27
Finland,"DTP-containing vaccine, 3rd dose",27
Gambia,"HepB, 3rd dose",27
Germany,"HepB, 3rd dose",27
Guam,"HepB, 3rd dose",27
India,"HepB, birth dose (given within 24 hours of birth)",27
Israel,"Measles-containing vaccine, 2nd dose",27
Italy,"DTP-containing vaccine, 3rd dose",27
Italy,"Rotavirus, last dose",27
Kyrgyzstan,"Pneumococcal conjugate vaccine, final dose",27
Lao People's Democratic Republic,"Vitamin A, 1st dose",27
Malta,"Hib, 3rd dose",27
Marshall Islands,"Hib, 3rd dose",27
Micronesia (Federated States of),"Hib, 3rd dose",27
Monaco,"DTP-containing vaccine, 1st dose",27
Mongolia,"Pneumococcal conjugate vaccine, final dose",27
New Caledonia,"Polio, 3rd dose",27
New Caledonia,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",27
Pakistan,"Rotavirus, last dose",27
Peru,"Rubella-containing vaccine, 1st dose",27
Peru,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",27
Republic of Korea,"Measles-containing vaccine, 2nd dose",27
Republic of Moldova,"Measles-containing vaccine, 2nd dose",27
Samoa,"HepB, 3rd dose",27
San Marino,"Measles-containing vaccine, 1st dose",27
Sao Tome and Principe,Yellow fever vaccine,27
Solomon Islands,Japanese encephalitis,27
Sweden,"DTP-containing vaccine, 3rd dose",27
Sweden,"Rotavirus, 1st dose",27
Switzerland,"Measles-containing vaccine, 1st dose",27
Syrian Arab Republic,"Vitamin A, 1st dose",27
Tajikistan,"Pneumococcal conjugate vaccine, 1st dose",27
Togo,Yellow fever vaccine,27
Tonga,"Rubella-containing vaccine, 1st dose",27
Trinidad and Tobago,"Measles-containing vaccine, 2nd dose",27
Trinidad and Tobago,Yellow fever vaccine,27
Tunisia,"HepB, 3rd dose",27
Türkiye,Protection at birth (PAB) against neonatal tetanus,27
Uruguay,"Hib, 3rd dose",27
Uzbekistan,"Rubella-containing vaccine, 1st dose",27
Viet Nam,"HepB, birth dose (given within 24 hours of birth)",27
Albania,"Measles-containing vaccine, 2nd dose",26
Algeria,"Rotavirus, 1st dose",26
Argentina,"Hib, 3rd dose",26
Belgium,"Rubella-containing vaccine, 1st dose",26
Benin,Yellow fever vaccine,26
British Virgin Islands,BCG (Baccille Calmette Guérin) vaccine,26
Bulgaria,"Rotavirus, 1st dose",26
Cambodia,Japanese encephalitis,26
Colombia,"HepB, birth dose (given within 24 hours of birth)",26
Colombia,"Hib, 3rd dose",26
Cook Islands,"Pneumococcal conjugate vaccine, 1st dose",26
Cook Islands,"Rotavirus, 1st dose",26
Costa Rica,"HepB, birth dose (given within 24 hours of birth)",26
El Salvador,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",26
Finland,"DTP-containing vaccine, 1st dose",26
Finland,"Polio, 3rd dose",26
Germany,"DTP-containing vaccine, 1st dose",26
Germany,"Rotavirus, last dose",26
Greece,"Pneumococcal conjugate vaccine, final dose",26
Guam,"DTP-containing vaccine, 3rd dose",26
Guinea-Bissau,"Rotavirus, last dose",26
Haiti,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",26
India,"Pneumococcal conjugate vaccine, final dose",26
Iraq,"Rubella-containing vaccine, 1st dose",26
Italy,"Hib, 3rd dose",26
Italy,"Rotavirus, 1st dose",26
Kiribati,"Rotavirus, last dose",26
Kuwait,"Rotavirus, last dose",26
Latvia,"Rotavirus, last dose",26
Libya,Japanese encephalitis,26
Malawi,"Vitamin A, 1st dose",26
Marshall Islands,"Measles-containing vaccine, 2nd dose",26
Marshall Islands,"Rubella-containing vaccine, 1st dose",26
Mexico,"Measles-containing vaccine, 2nd dose",26
Micronesia (Federated States of),"Measles-containing vaccine, 2nd dose",26
Mongolia,"Measles-containing vaccine, 2nd dose",26
Nepal,"Rotavirus, 1st dose",26
New Caledonia,BCG (Baccille Calmette Guérin) vaccine,26
Nigeria,"Rotavirus, 1st dose",26
Oman,"Rubella-containing vaccine, 1st dose",26
Palau,"Hib, 3rd dose",26
Poland,Japanese encephalitis,26
Republic of Korea,"HepB, 3rd dose",26
Republic of Korea,"HepB, birth dose (given within 24 hours of birth)",26
Romania,"Pneumococcal conjugate vaccine, 1st dose",26
Sao Tome and Principe,"Rotavirus, last dose",26
Seychelles,"Measles-containing vaccine, 2nd dose",26
Slovakia,"Pneumococcal conjugate vaccine, 1st dose",26
Spain,"HepB, 3rd dose",26
Sri Lanka,"Measles-containing vaccine, 2nd dose",26
Suriname,Protection at birth (PAB) against neonatal tetanus,26
Sweden,"Measles-containing vaccine, 1st dose",26
Sweden,"Pneumococcal conjugate vaccine, 1st dose",26
Timor-Leste,"Rotavirus, 1st dose",26
Tonga,"Rotavirus, 1st dose",26
Tuvalu,"Pneumococcal conjugate vaccine, 1st dose",26
Tuvalu,"Rotavirus, 1st dose",26
Ukraine,"Pneumococcal conjugate vaccine, 1st dose",26
Ukraine,"Rotavirus, 1st dose",26
"occupied Palestinian territory, including east Jerusalem","Measles-containing vaccine, 2nd dose",26
"occupied Palestinian territory, including east Jerusalem",Yellow fever vaccine,26
American Samoa,"Hib, 3rd dose",25
Anguilla,"Measles-containing vaccine, 2nd dose",25
Antigua and Barbuda,Japanese encephalitis,25
Australia,"Rotavirus, 1st dose",25
Azerbaijan,"HepB, 3rd dose",25
Azerbaijan,"Measles-containing vaccine, 2nd dose",25
Bahrain,"Hib, 3rd dose",25
Bangladesh,"Pneumococcal conjugate vaccine, final dose",25
Bangladesh,"Vitamin A, 1st dose",25
Barbados,Japanese encephalitis,25
Bermuda,"HepB, 3rd dose",25
Bermuda,"Hib, 3rd dose",25
Bolivia (Plurinational State of),Japanese encephalitis,25
Brazil,Japanese encephalitis,25
Canada,Japanese encephalitis,25
Chad,Protection at birth (PAB) against neonatal tetanus,25
Colombia,"HepB, 3rd dose",25
Congo,Protection at birth (PAB) against neonatal tetanus,25
Cuba,Japanese encephalitis,25
Democratic Republic of the Congo,"Rotavirus, 1st dose",25
Denmark,"Measles-containing vaccine, 2nd dose",25
Dominica,Japanese encephalitis,25
Ecuador,Japanese encephalitis,25
Ecuador,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",25
Ecuador,Yellow fever vaccine,25
Egypt,"Measles-containing vaccine, 2nd dose",25
El Salvador,Japanese encephalitis,25
Eswatini,"Rotavirus, last dose",25
French Polynesia,"Measles-containing vaccine, 1st dose",25
French Polynesia,"Rotavirus, 1st dose",25
French Polynesia,"Rotavirus, last dose",25
Guam,"Measles-containing vaccine, 1st dose",25
Guatemala,Japanese encephalitis,25
Guyana,Japanese encephalitis,25
Haiti,Japanese encephalitis,25
Honduras,Japanese encephalitis,25
Honduras,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",25
Iraq,"HepB, 3rd dose",25
Jamaica,Japanese encephalitis,25
Jordan,"HepB, 3rd dose",25
Kuwait,Japanese encephalitis,25
Lesotho,Protection at birth (PAB) against neonatal tetanus,25
Liberia,"Polio, 3rd dose",25
Maldives,"HepB, 3rd dose",25
Mexico,Japanese encephalitis,25
Namibia,"Rotavirus, last dose",25
Nauru,"Pneumococcal conjugate vaccine, 1st dose",25
Nauru,"Rotavirus, 1st dose",25
Nicaragua,Japanese encephalitis,25
Niue,Japanese encephalitis,25
Niue,"Measles-containing vaccine, 2nd dose",25
Oman,"HepB, 3rd dose",25
Panama,Japanese encephalitis,25
Peru,Japanese encephalitis,25
Peru,Yellow fever vaccine,25
Russian Federation,"Pneumococcal conjugate vaccine, final dose",25
Saint Kitts and Nevis,Japanese encephalitis,25
Saint Vincent and the Grenadines,Japanese encephalitis,25
Singapore,Japanese encephalitis,25
South Sudan,Japanese encephalitis,25
South Sudan,"Pneumococcal conjugate vaccine, 1st dose",25
Spain,"Hib, 3rd dose",25
Spain,"Pneumococcal conjugate vaccine, final dose",25
Suriname,Japanese encephalitis,25
Sweden,"Polio, 3rd dose",25
Thailand,"DTP-containing vaccine, 1st dose",25
Tonga,"Pneumococcal conjugate vaccine, 1st dose",25
Turkmenistan,"HepB, 3rd dose",25
Ukraine,"HepB, 3rd dose",25
Uruguay,Japanese encephalitis,25
Venezuela (Bolivarian Republic of),"Pneumococcal conjugate vaccine, final dose",25
Venezuela (Bolivarian Republic of),Yellow fever vaccine,25
Albania,"Rubella-containing vaccine, 1st dose",24
Antigua and Barbuda,"Pneumococcal conjugate vaccine, 2nd dose",24
Argentina,Japanese encephalitis,24
Belgium,"DTP-containing vaccine, 1st dose",24
Belgium,"Rotavirus, last dose",24
Benin,Protection at birth (PAB) against neonatal tetanus,24
Bermuda,"Measles-containing vaccine, 2nd dose",24
Bolivia (Plurinational State of),Protection at birth (PAB) against neonatal tetanus,24
Cabo Verde,Protection at birth (PAB) against neonatal tetanus,24
Cabo Verde,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",24
Chile,Japanese encephalitis,24
China,"Pneumococcal conjugate vaccine, 2nd dose",24
"China, Hong Kong SAR","Measles-containing vaccine, 1st dose",24
Colombia,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",24
Comoros,"Pneumococcal conjugate vaccine, 2nd dose",24
Costa Rica,Japanese encephalitis,24
Czechia,"Measles-containing vaccine, 1st dose",24
Czechia,"Pneumococcal conjugate vaccine, 2nd dose",24
Democratic People's Republic of Korea,"Pneumococcal conjugate vaccine, 2nd dose",24
Democratic People's Republic of Korea,"Vitamin A, 1st dose",24
Dominica,"Pneumococcal conjugate vaccine, 2nd dose",24
Egypt,"HepB, 3rd dose",24
Egypt,"Pneumococcal conjugate vaccine, 2nd dose",24
Equatorial Guinea,"Pneumococcal conjugate vaccine, 2nd dose",24
Estonia,"Pneumococcal conjugate vaccine, 2nd dose",24
Eswatini,Protection at birth (PAB) against neonatal tetanus,24
Fiji,Protection at birth (PAB) against neonatal tetanus,24
France,"Measles-containing vaccine, 1st dose",24
France,"Polio, 3rd dose",24
French Polynesia,"HepB, birth dose (given within 24 hours of birth)",24
Gabon,"Pneumococcal conjugate vaccine, 2nd dose",24
Gabon,Protection at birth (PAB) against neonatal tetanus,24
Gabon,Yellow fever vaccine,24
Greece,"Rotavirus, 1st dose",24
Guinea-Bissau,"Pneumococcal conjugate vaccine, final dose",24
Iran (Islamic Republic of),"Pneumococcal conjugate vaccine, 2nd dose",24
Jordan,"Rubella-containing vaccine, 1st dose",24
Kazakhstan,"Rubella-containing vaccine, 1st dose",24
Lao People's Democratic Republic,Protection at birth (PAB) against neonatal tetanus,24
Lebanon,"Measles-containing vaccine, 2nd dose",24
Liberia,"Measles-containing vaccine, 1st dose",24
Lithuania,"Pneumococcal conjugate vaccine, final dose",24
Malaysia,"HepB, 3rd dose",24
Maldives,"Pneumococcal conjugate vaccine, 2nd dose",24
Malta,"Pneumococcal conjugate vaccine, 1st dose",24
Marshall Islands,Japanese encephalitis,24
Mauritius,"Pneumococcal conjugate vaccine, final dose",24
Montserrat,"HepB, 3rd dose",24
Montserrat,"Hib, 3rd dose",24
Myanmar,Japanese encephalitis,24
Myanmar,"Pneumococcal conjugate vaccine, final dose",24
Myanmar,"Rotavirus, 1st dose",24
Netherlands (Kingdom of the),"Pneumococcal conjugate vaccine, 2nd dose",24
New Caledonia,"DTP-containing vaccine, 3rd dose",24
New Zealand,"Rotavirus, last dose",24
Nicaragua,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",24
Norway,"Hib, 3rd dose",24
Panama,Yellow fever vaccine,24
Paraguay,Japanese encephalitis,24
Paraguay,"Rubella-containing vaccine, 1st dose",24
Poland,"Pneumococcal conjugate vaccine, final dose",24
Republic of Korea,"Pneumococcal conjugate vaccine, final dose",24
Saint Kitts and Nevis,"Pneumococcal conjugate vaccine, 2nd dose",24
Saint Lucia,Japanese encephalitis,24
Saint Lucia,"Pneumococcal conjugate vaccine, 2nd dose",24
Saint Vincent and the Grenadines,"Pneumococcal conjugate vaccine, 2nd dose",24
Seychelles,"HepB, 3rd dose",24
Seychelles,"Pneumococcal conjugate vaccine, final dose",24
Sierra Leone,Yellow fever vaccine,24
Slovakia,"Measles-containing vaccine, 2nd dose",24
Somalia,"Pneumococcal conjugate vaccine, 2nd dose",24
South Sudan,"Rotavirus, 1st dose",24
Sri Lanka,"Pneumococcal conjugate vaccine, 2nd dose",24
Suriname,"Pneumococcal conjugate vaccine, 2nd dose",24
Syrian Arab Republic,"Pneumococcal conjugate vaccine, 2nd dose",24
Thailand,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",24
Tunisia,"Pneumococcal conjugate vaccine, 1st dose",24
Tuvalu,"HepB, 3rd dose",24
United Kingdom of Great Britain and Northern Ireland,"Rotavirus, last dose",24
Uzbekistan,"Pneumococcal conjugate vaccine, final dose",24
Vanuatu,"Pneumococcal conjugate vaccine, 1st dose",24
Vanuatu,"Rotavirus, 1st dose",24
Venezuela (Bolivarian Republic of),Japanese encephalitis,24
Viet Nam,"Pneumococcal conjugate vaccine, 2nd dose",24
Viet Nam,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",24
Yemen,Protection at birth (PAB) against neonatal tetanus,24
Albania,"HepB, 3rd dose",23
Argentina,"Rotavirus, last dose",23
Australia,"Pneumococcal conjugate vaccine, 2nd dose",23
Azerbaijan,"Rubella-containing vaccine, 1st dose",23
Belarus,"HepB, 3rd dose",23
Belize,Japanese encephalitis,23
Brazil,"HepB, 3rd dose",23
Cayman Islands,"Measles-containing vaccine, 2nd dose",23
Chile,"Hib, 3rd dose",23
China,"HepB, birth dose (given within 24 hours of birth)",23
"China, Hong Kong SAR","Rotavirus, 1st dose",23
"China, Hong Kong SAR","Rotavirus, last dose",23
Cuba,"Pneumococcal conjugate vaccine, 2nd dose",23
Cyprus,"DTP-containing vaccine, 1st dose",23
Democratic Republic of the Congo,Protection at birth (PAB) against neonatal tetanus,23
Djibouti,Protection at birth (PAB) against neonatal tetanus,23
Djibouti,"Rotavirus, last dose",23
Dominican Republic,Japanese encephalitis,23
Ecuador,"Rubella-containing vaccine, 1st dose",23
Fiji,"Rubella-containing vaccine, 1st dose",23
France,"DTP-containing vaccine, 1st dose",23
Germany,"DTP-containing vaccine, 3rd dose",23
Grenada,Japanese encephalitis,23
Guatemala,"Vitamin A, 1st dose",23
Guyana,"Rubella-containing vaccine, 1st dose",23
Indonesia,Japanese encephalitis,23
Iran (Islamic Republic of),"HepB, 3rd dose",23
Jordan,BCG (Baccille Calmette Guérin) vaccine,23
Jordan,"Measles-containing vaccine, 2nd dose",23
Jordan,"Rotavirus, last dose",23
Kazakhstan,"Measles-containing vaccine, 2nd dose",23
Liberia,"DTP-containing vaccine, 3rd dose",23
Lithuania,"Hib, 3rd dose",23
Luxembourg,"Rotavirus, last dose",23
Mauritius,"Rotavirus, last dose",23
Montserrat,"Measles-containing vaccine, 2nd dose",23
Morocco,"Vitamin A, 1st dose",23
Netherlands (Kingdom of the),"Hib, 3rd dose",23
New Caledonia,"HepB, 3rd dose",23
New Caledonia,"Measles-containing vaccine, 1st dose",23
Panama,"Vitamin A, 1st dose",23
Paraguay,Yellow fever vaccine,23
Poland,"Pneumococcal conjugate vaccine, 1st dose",23
Portugal,"Rubella-containing vaccine, 1st dose",23
Romania,"Measles-containing vaccine, 1st dose",23
Russian Federation,"HepB, 3rd dose",23
Senegal,Protection at birth (PAB) against neonatal tetanus,23
Seychelles,"Rotavirus, last dose",23
Solomon Islands,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",23
South Sudan,"Pneumococcal conjugate vaccine, 2nd dose",23
Suriname,"HepB, birth dose (given within 24 hours of birth)",23
Syrian Arab Republic,"Measles-containing vaccine, 2nd dose",23
Tajikistan,"Rotavirus, last dose",23
Thailand,"Pneumococcal conjugate vaccine, 2nd dose",23
Trinidad and Tobago,Japanese encephalitis,23
Turkmenistan,"Rubella-containing vaccine, 1st dose",23
United States of America,"DTP-containing vaccine, 3rd dose",23
United States of America,"HepB, birth dose (given within 24 hours of birth)",23
United States of America,"Measles-containing vaccine, 1st dose",23
Wallis and Futuna,"Hib, 3rd dose",23
Algeria,Protection at birth (PAB) against neonatal tetanus,22
Andorra,"Pneumococcal conjugate vaccine, 2nd dose",22
Australia,"Rubella-containing vaccine, 1st dose",22
Austria,"Pneumococcal conjugate vaccine, 2nd dose",22
Bahamas,Japanese encephalitis,22
Belarus,Japanese encephalitis,22
Belarus,"Measles-containing vaccine, 2nd dose",22
Belgium,"Pneumococcal conjugate vaccine, final dose",22
Belize,"Pneumococcal conjugate vaccine, 2nd dose",22
Belize,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",22
Brazil,"Rubella-containing vaccine, 1st dose",22
Brazil,Yellow fever vaccine,22
Brunei Darussalam,"Pneumococcal conjugate vaccine, 2nd dose",22
Bulgaria,"Measles-containing vaccine, 2nd dose",22
Cameroon,Protection at birth (PAB) against neonatal tetanus,22
Chad,"Pneumococcal conjugate vaccine, 2nd dose",22
China,Japanese encephalitis,22
Colombia,Japanese encephalitis,22
Costa Rica,"Rotavirus, 1st dose",22
Côte d'Ivoire,Protection at birth (PAB) against neonatal tetanus,22
Denmark,"Hib, 3rd dose",22
Equatorial Guinea,Protection at birth (PAB) against neonatal tetanus,22
Eritrea,"HepB, 3rd dose",22
Finland,"Rotavirus, last dose",22
French Polynesia,"DTP-containing vaccine, 3rd dose",22
Greece,"Pneumococcal conjugate vaccine, 1st dose",22
Grenada,"Pneumococcal conjugate vaccine, 2nd dose",22
Guam,"Pneumococcal conjugate vaccine, 1st dose",22
Guam,"Polio, 3rd dose",22
Guam,"Rotavirus, 1st dose",22
Guatemala,"Rubella-containing vaccine, 1st dose",22
Guinea,"Pneumococcal conjugate vaccine, 2nd dose",22
Guyana,Yellow fever vaccine,22
Iceland,"Hib, 3rd dose",22
India,"Rotavirus, last dose",22
Indonesia,"HepB, 3rd dose",22
Ireland,"Hib, 3rd dose",22
Ireland,"Pneumococcal conjugate vaccine, 2nd dose",22
Kenya,Yellow fever vaccine,22
Kyrgyzstan,"Rotavirus, 1st dose",22
Lao People's Democratic Republic,Japanese encephalitis,22
Lithuania,"Measles-containing vaccine, 2nd dose",22
Malaysia,"Pneumococcal conjugate vaccine, 2nd dose",22
Mexico,"Rubella-containing vaccine, 1st dose",22
North Macedonia,"Pneumococcal conjugate vaccine, 1st dose",22
North Macedonia,"Rotavirus, 1st dose",22
Norway,"Measles-containing vaccine, 2nd dose",22
Poland,"HepB, 3rd dose",22
Portugal,BCG (Baccille Calmette Guérin) vaccine,22
San Marino,"HepB, 3rd dose",22
Serbia,"Measles-containing vaccine, 2nd dose",22
Serbia,"Pneumococcal conjugate vaccine, 2nd dose",22
Singapore,"Rotavirus, 1st dose",22
Slovenia,"DTP-containing vaccine, 3rd dose",22
Slovenia,"Measles-containing vaccine, 1st dose",22
Slovenia,"Polio, 3rd dose",22
Slovenia,"Rubella-containing vaccine, 1st dose",22
Sweden,"Rubella-containing vaccine, 1st dose",22
Timor-Leste,"Pneumococcal conjugate vaccine, 2nd dose",22
Tunisia,"HepB, birth dose (given within 24 hours of birth)",22
Tunisia,"Measles-containing vaccine, 2nd dose",22
Turkmenistan,"Pneumococcal conjugate vaccine, 1st dose",22
Turkmenistan,"Rotavirus, 1st dose",22
Uzbekistan,"HepB, 3rd dose",22
Andorra,"Rubella-containing vaccine, 1st dose",21
Anguilla,"Hib, 3rd dose",21
Argentina,"Measles-containing vaccine, 2nd dose",21
Armenia,"Measles-containing vaccine, 2nd dose",21
Armenia,"Pneumococcal conjugate vaccine, final dose",21
Austria,"Polio, 3rd dose",21
Belarus,"Pneumococcal conjugate vaccine, final dose",21
Bolivia (Plurinational State of),"Rubella-containing vaccine, 1st dose",21
British Virgin Islands,"Measles-containing vaccine, 2nd dose",21
Burundi,Protection at birth (PAB) against neonatal tetanus,21
Cabo Verde,"Pneumococcal conjugate vaccine, 2nd dose",21
Canada,"Pneumococcal conjugate vaccine, 2nd dose",21
